Example	Question	Formula	Worked	Answer	Dimension	Shape
triV_X.jpg	triV_1_0.jpg	triV_1_F.jpg	triV_1_W.jpg	80	Volume	Triangle
triV_X.jpg	triV_2_0.jpg	triV_2_F.jpg	triV_2_W.jpg	42	Volume	Triangle
triV_X.jpg	triV_3_0.jpg	triV_3_F.jpg	triV_3_W.jpg	135	Volume	Triangle
triV_X.jpg	triV_4_0.jpg	triV_4_F.jpg	triV_4_W.jpg	210	Volume	Triangle
triV_X.jpg	triV_5_0.jpg	triV_5_F.jpg	triV_5_W.jpg	36	Volume	Triangle
triV_X.jpg	triV_6_0.jpg	triV_6_F.jpg	triV_6_W.jpg	140	Volume	Triangle
triV_X.jpg	triV_7_0.jpg	triV_7_F.jpg	triV_7_W.jpg	162	Volume	Triangle
triV_X.jpg	triV_8_0.jpg	triV_8_F.jpg	triV_8_W.jpg	15	Volume	Triangle
